MAX_ATR_I_12M,NMES_ATR15_I_U6K_24M,RTOT_DACT_DTOT_24M,VAR_PROM_ENT_ACTU_24M,NMES_UATR3_I_24M,VAR_PROM_DEUDIR_ACTU_12M,INC_SUM_ACTSH_ACTU_24M,MAX_ENT_12M,N_NOR_24M,NMES_UATR15_I_U6K_24M,FLG_CLI_DEF60
12,0,0.893633333,-0.138888889,5,0.324511081,24.56926131,4,19,0,0
0,0,0.771135623,-0.069444444,18,0.282853201,24.19298898,3,22,0,0
0,0,1.0,0.0,0,0.594941463,11.7595317,1,8,0,0
5,0,1.0,-0.041666667,1,0.268803458,25.95175704,2,24,0,0
1,0,0.528470162,-0.166666667,0,0.599938664,32.59230568,4,24,0,0
2,0,0.656292744,0.565217391,0,-0.246693602,10.7253244,2,23,0,0
6,0,1.0,0.0,0,0.285335675,5.426678377,1,5,0,0
6,0,0.839860603,-0.3125,4,0.03464391,19.02328626,2,23,0,0
8,0,0.621158009,0.0,0,0.070482368,11.84578841,2,12,0,0
0,0,1.0,0.0,0,0.294270143,6.765620856,1,6,0,0
14,0,0.606687627,-0.305555556,0,0.157642417,18.01192324,2,18,0,0
7,0,0.8153075,-0.376811594,0,-0.038584343,12.50345382,3,21,0,0
3,0,0.877834267,0.25,7,1.082597695,45.08856018,3,23,0,0
11,0,0.560583571,0.0,2,-0.283300974,15.87353905,1,20,0,0
0,0,0.505912404,-0.388888889,0,0.188081726,23.86023686,3,24,0,0
2,0,0.688732214,0.0,0,-0.176703702,8.879555577,1,12,0,0
0,0,0.668557133,-0.270833333,0,0.045771011,22.79759369,3,24,0,0
3,0,1.0,-0.319444444,8,0.119690844,22.22469169,3,24,0,0
7,0,0.520732026,0.0,0,0.03165399,22.69446943,2,24,0,0
4,0,1.0,0.0,0,0.193397339,27.7420355,1,24,0,0
4,0,0.223143841,0.0,1,1.182231096,74.08665551,1,24,0,0
6,0,0.654477825,0.375,0,-0.049997886,18.15412441,4,24,0,0
0,0,1.0,0.0,0,0.31798005,36.56068891,1,24,0,0
2,0,1.0,0.354166667,18,0.073377269,29.72203899,3,24,0,0
3,0,0.908163824,-0.364583333,10,-0.506893722,14.58694165,4,22,0,0
0,0,0.858041368,0.0,0,0.119864566,4.59932283,1,5,0,0
5,0,1.0,0.583333333,0,0.354025771,35.48739956,2,24,0,0
7,0,0.768645388,-0.020833333,0,-0.122540564,19.40859903,2,24,0,0
2,0,0.796796646,0.0,0,-0.241725204,16.05561876,3,24,0,0
